id,flight_date,flight_status,flight_number,flight_iata,flight_icao,airline_name,airline_iata,airline_icao,depart_airport,depart_timezone,depart_iata,depart_icao,depart_terminal,depart_gate,depart_delay,depart_scheduled,depart_estimated,depart_actual,depart_estimated_runway,depart_actual_runway,arrival_airport,arrival_timezone,arrival_iata,arrival_icao,arrival_terminal,arrival_gate,arrival_baggage,arrival_delay,arrival_scheduled,arrival_estimated,arrival_actual,arrival_estimated_runway,arrival_actual_runway,aircraft_registration,aircraft_iata,aircraft_icao,aircraft_icao24
2024-04-16DL7360None,2024-04-16,landed,7360,DL7360,DAL7360,Delta Air Lines,DL,DAL,El Nuevo Dorado International,America/Bogota,BOG,SKBO,1,C9,27,2024-04-16T19:00:00+00:00,2024-04-16T19:00:00+00:00,2024-04-16T19:27:00+00:00,2024-04-16T19:27:00+00:00,2024-04-16T19:27:00+00:00,Alfonso B. Aragon,America/Bogota,CLO,SKCL,1,,,,2024-04-16T20:04:00+00:00,2024-04-16T20:04:00+00:00,2024-04-16T20:01:00+00:00,2024-04-16T20:01:00+00:00,2024-04-16T20:01:00+00:00,None,None,None,None
2024-04-16DL3780None,2024-04-16,landed,3780,DL3780,DAL3780,Delta Air Lines,DL,DAL,Charlotte Douglas,America/New_York,CLT,KCLT,,A11,63,2024-04-16T20:16:00+00:00,2024-04-16T20:16:00+00:00,2024-04-16T21:18:00+00:00,2024-04-16T21:18:00+00:00,2024-04-16T21:18:00+00:00,Detroit Metropolitan Wayne County,America/Detroit,DTW,KDTW,EM,B5,8,22,2024-04-16T22:12:00+00:00,2024-04-16T22:12:00+00:00,2024-04-16T22:33:00+00:00,2024-04-16T22:33:00+00:00,2024-04-16T22:33:00+00:00,None,None,None,None
2024-04-16DL6279None,2024-04-16,landed,6279,DL6279,DAL6279,Delta Air Lines,DL,DAL,Tepual,America/Santiago,PMC,SCTE,1,1,10,2024-04-16T20:15:00+00:00,2024-04-16T20:15:00+00:00,2024-04-16T20:25:00+00:00,2024-04-16T20:25:00+00:00,2024-04-16T20:25:00+00:00,Arturo Merino Benitez,America/Santiago,SCL,SCEL,2,28,1,,2024-04-16T21:59:00+00:00,2024-04-16T21:59:00+00:00,2024-04-16T21:42:00+00:00,2024-04-16T21:42:00+00:00,2024-04-16T21:42:00+00:00,None,None,None,None
2024-04-16DL2987B753,2024-04-16,landed,2987,DL2987,DAL2987,Delta Air Lines,DL,DAL,Fort Lauderdale–Hollywood International,America/New_York,FLL,KFLL,2,D5,3,2024-04-16T20:34:00+00:00,2024-04-16T20:34:00+00:00,2024-04-16T20:36:00+00:00,2024-04-16T20:36:00+00:00,2024-04-16T20:36:00+00:00,Detroit Metropolitan Wayne County,America/Detroit,DTW,KDTW,EM,A40,4,,2024-04-16T23:34:00+00:00,2024-04-16T23:34:00+00:00,2024-04-16T23:06:00+00:00,2024-04-16T23:06:00+00:00,2024-04-16T23:06:00+00:00,N596NW,B753,B753,A7B4F2
2024-04-16DL6044None,2024-04-16,landed,6044,DL6044,DAL6044,Delta Air Lines,DL,DAL,El Nuevo Dorado International,America/Bogota,BOG,SKBO,1,C5,13,2024-04-16T09:38:00+00:00,2024-04-16T09:38:00+00:00,2024-04-16T09:51:00+00:00,2024-04-16T09:51:00+00:00,2024-04-16T09:51:00+00:00,Rafael Nunez,America/Bogota,CTG,SKCG,1,,2,,2024-04-16T11:09:00+00:00,2024-04-16T11:09:00+00:00,2024-04-16T10:51:00+00:00,2024-04-16T10:51:00+00:00,2024-04-16T10:51:00+00:00,None,None,None,None
2024-04-16DL2391None,2024-04-16,landed,2391,DL2391,DAL2391,Delta Air Lines,DL,DAL,Pensacola International Airport,America/Chicago,PNS,KPNS,,2,,2024-04-16T19:34:00+00:00,2024-04-16T19:34:00+00:00,2024-04-16T19:31:00+00:00,2024-04-16T19:31:00+00:00,2024-04-16T19:31:00+00:00,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,S,C37,2,,2024-04-16T21:50:00+00:00,2024-04-16T21:50:00+00:00,2024-04-16T21:20:00+00:00,2024-04-16T21:20:00+00:00,2024-04-16T21:20:00+00:00,None,None,None,None
2024-04-16DL6163None,2024-04-16,landed,6163,DL6163,DAL6163,Delta Air Lines,DL,DAL,Rodriguez Ballon,America/Lima,AQP,SPQU,1,,31,2024-04-16T19:50:00+00:00,2024-04-16T19:50:00+00:00,2024-04-16T20:20:00+00:00,2024-04-16T20:20:00+00:00,2024-04-16T20:20:00+00:00,Jorge Chavez International,America/Lima,LIM,SPJC,2,,4,13,2024-04-16T21:25:00+00:00,2024-04-16T21:25:00+00:00,2024-04-16T21:38:00+00:00,2024-04-16T21:38:00+00:00,2024-04-16T21:38:00+00:00,None,None,None,None
2024-04-16DL7753None,2024-04-16,landed,7753,DL7753,DAL7753,Delta Air Lines,DL,DAL,Guangzhou Baiyun International,Asia/Shanghai,CAN,ZGGG,2,,12,2024-04-16T10:30:00+00:00,2024-04-16T10:30:00+00:00,2024-04-16T10:42:00+00:00,2024-04-16T10:42:00+00:00,2024-04-16T10:42:00+00:00,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,2,,35,,2024-04-16T13:00:00+00:00,2024-04-16T13:00:00+00:00,2024-04-16T12:38:00+00:00,2024-04-16T12:38:00+00:00,2024-04-16T12:38:00+00:00,None,None,None,None
2024-04-16DL6473None,2024-04-16,scheduled,6473,DL6473,DAL6473,Delta Air Lines,DL,DAL,Kunming,Asia/Shanghai,KMG,ZPPP,,23,125,2024-04-16T07:35:00+00:00,2024-04-16T07:35:00+00:00,2024-04-16T09:40:00+00:00,2024-04-16T09:40:00+00:00,2024-04-16T09:40:00+00:00,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,1,,06,88,2024-04-16T10:50:00+00:00,2024-04-16T10:50:00+00:00,,,,None,None,None,None
2024-04-16DL601None,2024-04-16,scheduled,601,DL601,DAL601,Delta Air Lines,DL,DAL,Calgary International Airport,America/Edmonton,YYC,CYYC,,,,2024-04-16T17:10:00+00:00,2024-04-16T17:10:00+00:00,,,,Mc Carran International,America/Los_Angeles,LAS,KLAS,1,,,,2024-04-16T19:14:00+00:00,2024-04-16T19:14:00+00:00,,,,None,None,None,None
