id,flight_date,flight_status,flight_number,flight_iata,flight_icao,airline_name,airline_iata,airline_icao,depart_airport,depart_timezone,depart_iata,depart_icao,depart_terminal,depart_gate,depart_delay,depart_scheduled,depart_estimated,depart_actual,depart_estimated_runway,depart_actual_runway,arrival_airport,arrival_timezone,arrival_iata,arrival_icao,arrival_terminal,arrival_gate,arrival_baggage,arrival_delay,arrival_scheduled,arrival_estimated,arrival_actual,arrival_estimated_runway,arrival_actual_runway,aircraft_registration,aircraft_iata,aircraft_icao,aircraft_icao24
2024-04-19DL5973None,2024-04-19,landed,5973,DL5973,DAL5973,Delta Air Lines,DL,DAL,Heathrow,Europe/London,LHR,EGLL,3,19,71,2024-04-19T15:15:00+00:00,2024-04-19T15:15:00+00:00,2024-04-19T16:26:00+00:00,2024-04-19T16:26:00+00:00,2024-04-19T16:26:00+00:00,Orlando International,America/New_York,MCO,KMCO,B,96,8A,26,2024-04-19T19:30:00+00:00,2024-04-19T19:30:00+00:00,2024-04-19T19:56:00+00:00,2024-04-19T19:56:00+00:00,2024-04-19T19:56:00+00:00,None,None,None,None
2024-04-19DL8721None,2024-04-19,landed,8721,DL8721,DAL8721,Delta Air Lines,DL,DAL,Heathrow,Europe/London,LHR,EGLL,4,15,36,2024-04-19T15:20:00+00:00,2024-04-19T15:20:00+00:00,2024-04-19T15:55:00+00:00,2024-04-19T15:55:00+00:00,2024-04-19T15:55:00+00:00,Charles De Gaulle,Europe/Paris,CDG,LFPG,2E,,31,1,2024-04-19T17:40:00+00:00,2024-04-19T17:40:00+00:00,2024-04-19T17:38:00+00:00,2024-04-19T17:38:00+00:00,2024-04-19T17:38:00+00:00,None,None,None,None
2024-04-19DL6191None,2024-04-19,landed,6191,DL6191,DAL6191,Delta Air Lines,DL,DAL,Jorge Chavez International,America/Lima,LIM,SPJC,,B1,20,2024-04-19T05:20:00+00:00,2024-04-19T05:20:00+00:00,2024-04-19T05:40:00+00:00,2024-04-19T05:40:00+00:00,2024-04-19T05:40:00+00:00,Cornel Ruiz,America/Lima,CIX,SPHI,1,,,,2024-04-19T06:50:00+00:00,2024-04-19T06:50:00+00:00,2024-04-19T06:42:00+00:00,2024-04-19T06:42:00+00:00,2024-04-19T06:42:00+00:00,None,None,None,None
2024-04-19DL2184None,2024-04-19,landed,2184,DL2184,DAL2184,Delta Air Lines,DL,DAL,Salt Lake City International,America/Denver,SLC,KSLC,,A41,12,2024-04-19T13:40:00+00:00,2024-04-19T13:40:00+00:00,2024-04-19T13:51:00+00:00,2024-04-19T13:51:00+00:00,2024-04-19T13:51:00+00:00,George Bush Intercontinental,America/Chicago,IAH,KIAH,A,14,,,2024-04-19T17:38:00+00:00,2024-04-19T17:38:00+00:00,2024-04-19T17:20:00+00:00,2024-04-19T17:20:00+00:00,2024-04-19T17:20:00+00:00,None,None,None,None
2024-04-19DL1623A321,2024-04-19,landed,1623,DL1623,DAL1623,Delta Air Lines,DL,DAL,San Antonio International,America/Chicago,SAT,KSAT,A,5,14,2024-04-19T05:25:00+00:00,2024-04-19T05:25:00+00:00,2024-04-19T05:39:00+00:00,2024-04-19T05:39:00+00:00,2024-04-19T05:39:00+00:00,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,S,T7,1,,2024-04-19T08:44:00+00:00,2024-04-19T08:44:00+00:00,2024-04-19T08:32:00+00:00,2024-04-19T08:32:00+00:00,2024-04-19T08:32:00+00:00,N379DN,A321,A321,A45592
2024-04-19DL1940A319,2024-04-19,landed,1940,DL1940,DAL1940,Delta Air Lines,DL,DAL,L. F. Wade International,Atlantic/Bermuda,BDA,TXKF,,D4,3,2024-04-19T13:18:00+00:00,2024-04-19T13:18:00+00:00,2024-04-19T13:21:00+00:00,2024-04-19T13:21:00+00:00,2024-04-19T13:21:00+00:00,John F Kennedy International,America/New_York,JFK,KJFK,4,B28,T4,,2024-04-19T14:50:00+00:00,2024-04-19T14:50:00+00:00,2024-04-19T14:15:00+00:00,2024-04-19T14:15:00+00:00,2024-04-19T14:15:00+00:00,N346NB,A319,A319,A3D4C6
2024-04-19DL5959None,2024-04-19,landed,5959,DL5959,DAL5959,Delta Air Lines,DL,DAL,Heathrow,Europe/London,LHR,EGLL,3,31,57,2024-04-19T15:45:00+00:00,2024-04-19T15:45:00+00:00,2024-04-19T16:42:00+00:00,2024-04-19T16:42:00+00:00,2024-04-19T16:42:00+00:00,Mc Carran International,America/Los_Angeles,LAS,KLAS,3,,,8,2024-04-19T18:30:00+00:00,2024-04-19T18:30:00+00:00,2024-04-19T18:37:00+00:00,2024-04-19T18:37:00+00:00,2024-04-19T18:37:00+00:00,None,None,None,None
2024-04-19DL9981None,2024-04-19,scheduled,9981,DL9981,DAL9981,Delta Air Lines,DL,DAL,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,,,98,2024-04-19T10:10:00+00:00,2024-04-19T10:10:00+00:00,2024-04-19T11:47:00+00:00,2024-04-19T11:47:00+00:00,2024-04-19T11:47:00+00:00,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,N,,,85,2024-04-19T11:30:00+00:00,2024-04-19T11:30:00+00:00,,,,None,None,None,None
2024-04-19DL5616E75S,2024-04-19,landed,5616,DL5616,DAL5616,Delta Air Lines,DL,DAL,Louisville International (Standiford Field),America/Kentucky/Louisville,SDF,KSDF,,A1,11,2024-04-19T14:55:00+00:00,2024-04-19T14:55:00+00:00,2024-04-19T15:06:00+00:00,2024-04-19T15:06:00+00:00,2024-04-19T15:06:00+00:00,Logan International,America/New_York,BOS,KBOS,A,A4,4,,2024-04-19T17:17:00+00:00,2024-04-19T17:17:00+00:00,2024-04-19T16:59:00+00:00,2024-04-19T16:59:00+00:00,2024-04-19T16:59:00+00:00,N207JQ,E75S,E75S,A1ACDB
2024-04-19DL2935B739,2024-04-19,landed,2935,DL2935,DAL2935,Delta Air Lines,DL,DAL,Raleigh-durham International Airport,America/New_York,RDU,KRDU,2,D11,18,2024-04-19T07:05:00+00:00,2024-04-19T07:05:00+00:00,2024-04-19T07:23:00+00:00,2024-04-19T07:23:00+00:00,2024-04-19T07:23:00+00:00,Mc Carran International,America/Los_Angeles,LAS,KLAS,1,D43,,,2024-04-19T09:10:00+00:00,2024-04-19T09:10:00+00:00,2024-04-19T09:00:00+00:00,2024-04-19T09:00:00+00:00,2024-04-19T09:00:00+00:00,N847DN,B739,B739,AB9A32
