id,flight_date,flight_status,flight_number,flight_iata,flight_icao,airline_name,airline_iata,airline_icao,depart_airport,depart_timezone,depart_iata,depart_icao,depart_terminal,depart_gate,depart_delay,depart_scheduled,depart_estimated,depart_actual,depart_estimated_runway,depart_actual_runway,arrival_airport,arrival_timezone,arrival_iata,arrival_icao,arrival_terminal,arrival_gate,arrival_baggage,arrival_delay,arrival_scheduled,arrival_estimated,arrival_actual,arrival_estimated_runway,arrival_actual_runway,aircraft_registration,aircraft_iata,aircraft_icao,aircraft_icao24
2024-04-17DL6452None,2024-04-17,landed,6452,DL6452,DAL6452,Delta Air Lines,DL,DAL,Changsha,Asia/Shanghai,CSX,ZGHA,2,19,13,2024-04-17T07:50:00+00:00,2024-04-17T07:50:00+00:00,2024-04-17T08:02:00+00:00,2024-04-17T08:02:00+00:00,2024-04-17T08:02:00+00:00,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,1,,7,1,2024-04-17T09:45:00+00:00,2024-04-17T09:45:00+00:00,2024-04-17T09:45:00+00:00,2024-04-17T09:45:00+00:00,2024-04-17T09:45:00+00:00,None,None,None,None
2024-04-17DL8256None,2024-04-17,landed,8256,DL8256,DAL8256,Delta Air Lines,DL,DAL,Carthage,Africa/Tunis,TUN,DTTA,M,59,11,2024-04-17T09:50:00+00:00,2024-04-17T09:50:00+00:00,2024-04-17T10:00:00+00:00,2024-04-17T10:00:00+00:00,2024-04-17T10:00:00+00:00,Charles De Gaulle,Europe/Paris,CDG,LFPG,2E,,31,,2024-04-17T13:25:00+00:00,2024-04-17T13:25:00+00:00,2024-04-17T13:24:00+00:00,2024-04-17T13:24:00+00:00,2024-04-17T13:24:00+00:00,None,None,None,None
2024-04-17DL6260None,2024-04-17,active,6260,DL6260,DAL6260,Delta Air Lines,DL,DAL,Santos Dumont,America/Sao_Paulo,SDU,SBRJ,1,08,,2024-04-17T06:05:00+00:00,2024-04-17T06:05:00+00:00,2024-04-17T06:05:00+00:00,2024-04-17T06:05:00+00:00,2024-04-17T06:05:00+00:00,Aeroporto Internacional Guarulhos,America/Sao_Paulo,GRU,SBGR,2,,,,2024-04-17T07:15:00+00:00,2024-04-17T07:15:00+00:00,,,,None,None,None,None
2024-04-17DL6339None,2024-04-17,landed,6339,DL6339,DAL6339,Delta Air Lines,DL,DAL,Santos Dumont,America/Sao_Paulo,SDU,SBRJ,1,8,,2024-04-17T06:05:00+00:00,2024-04-17T06:05:00+00:00,2024-04-17T06:05:00+00:00,2024-04-17T06:05:00+00:00,2024-04-17T06:05:00+00:00,Aeroporto Internacional Guarulhos,America/Sao_Paulo,GRU,SBGR,2,,,,2024-04-17T07:15:00+00:00,2024-04-17T07:15:00+00:00,2024-04-17T06:51:00+00:00,2024-04-17T06:51:00+00:00,2024-04-17T06:51:00+00:00,None,None,None,None
2024-04-17DL6459None,2024-04-17,landed,6459,DL6459,DAL6459,Delta Air Lines,DL,DAL,Nanchang,Asia/Shanghai,KHN,ZSCN,T2,204,66,2024-04-17T07:10:00+00:00,2024-04-17T07:10:00+00:00,2024-04-17T08:16:00+00:00,2024-04-17T08:16:00+00:00,2024-04-17T08:16:00+00:00,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,1,,5,43,2024-04-17T08:50:00+00:00,2024-04-17T08:50:00+00:00,2024-04-17T09:32:00+00:00,2024-04-17T09:32:00+00:00,2024-04-17T09:32:00+00:00,None,None,None,None
2024-04-17DL205B763,2024-04-17,landed,205,DL205,DAL205,Delta Air Lines,DL,DAL,Arlanda,Europe/Stockholm,ARN,ESSA,5,F59,22,2024-04-17T10:20:00+00:00,2024-04-17T10:20:00+00:00,2024-04-17T10:41:00+00:00,2024-04-17T10:41:00+00:00,2024-04-17T10:41:00+00:00,John F Kennedy International,America/New_York,JFK,KJFK,4,B27,T4,,2024-04-17T13:20:00+00:00,2024-04-17T13:20:00+00:00,2024-04-17T12:43:00+00:00,2024-04-17T12:43:00+00:00,2024-04-17T12:43:00+00:00,N191DN,B763,B763,A16C3A
2024-04-17DL1262None,2024-04-17,landed,1262,DL1262,DAL1262,Delta Air Lines,DL,DAL,Los Angeles International,America/Los_Angeles,LAX,KLAX,2,25,23,2024-04-17T06:20:00+00:00,2024-04-17T06:20:00+00:00,2024-04-17T06:42:00+00:00,2024-04-17T06:42:00+00:00,2024-04-17T06:42:00+00:00,Salt Lake City International,America/Denver,SLC,KSLC,A,A3,,,2024-04-17T09:15:00+00:00,2024-04-17T09:15:00+00:00,2024-04-17T09:07:00+00:00,2024-04-17T09:07:00+00:00,2024-04-17T09:07:00+00:00,None,None,None,None
2024-04-17DL1763B752,2024-04-17,landed,1763,DL1763,DAL1763,Delta Air Lines,DL,DAL,Luis Munoz Marin International,America/Puerto_Rico,SJU,TJSJ,B,B11,21,2024-04-17T07:30:00+00:00,2024-04-17T07:30:00+00:00,2024-04-17T07:51:00+00:00,2024-04-17T07:51:00+00:00,2024-04-17T07:51:00+00:00,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,S,A11,9,2,2024-04-17T11:24:00+00:00,2024-04-17T11:24:00+00:00,2024-04-17T11:23:00+00:00,2024-04-17T11:23:00+00:00,2024-04-17T11:23:00+00:00,N667DN,B752,B752,A8CE92
2024-04-17DL8593None,2024-04-17,scheduled,8593,DL8593,DAL8593,Delta Air Lines,DL,DAL,Charles De Gaulle,Europe/Paris,CDG,LFPG,2F,F21,42,2024-04-17T09:15:00+00:00,2024-04-17T09:15:00+00:00,2024-04-17T09:57:00+00:00,2024-04-17T09:57:00+00:00,2024-04-17T09:57:00+00:00,Peretola,Europe/Rome,FLR,LIRQ,4,,,17,2024-04-17T11:00:00+00:00,2024-04-17T11:00:00+00:00,,,,None,None,None,None
2024-04-17DL131B763,2024-04-17,landed,131,DL131,DAL131,Delta Air Lines,DL,DAL,Franz Josef Strauss,Europe/Berlin,MUC,EDDM,1,C25,10,2024-04-17T10:25:00+00:00,2024-04-17T10:25:00+00:00,2024-04-17T10:34:00+00:00,2024-04-17T10:34:00+00:00,2024-04-17T10:34:00+00:00,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,I,E8,99,,2024-04-17T15:00:00+00:00,2024-04-17T15:00:00+00:00,2024-04-17T14:35:00+00:00,2024-04-17T14:35:00+00:00,2024-04-17T14:35:00+00:00,N193DN,B763,B763,A173A8
