id,flight_date,flight_status,flight_number,flight_iata,flight_icao,airline_name,airline_iata,airline_icao,depart_airport,depart_timezone,depart_iata,depart_icao,depart_terminal,depart_gate,depart_delay,depart_scheduled,depart_estimated,depart_actual,depart_estimated_runway,depart_actual_runway,arrival_airport,arrival_timezone,arrival_iata,arrival_icao,arrival_terminal,arrival_gate,arrival_baggage,arrival_delay,arrival_scheduled,arrival_estimated,arrival_actual,arrival_estimated_runway,arrival_actual_runway,aircraft_registration,aircraft_iata,aircraft_icao,aircraft_icao24
2024-04-18DL2826None,2024-04-18,landed,2826,DL2826,DAL2826,Delta Air Lines,DL,DAL,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,E,E13,31,2024-04-18T15:54:00+00:00,2024-04-18T15:54:00+00:00,2024-04-18T16:24:00+00:00,2024-04-18T16:24:00+00:00,2024-04-18T16:24:00+00:00,Detroit Metropolitan Wayne County,America/Detroit,DTW,KDTW,EM,A73,10,6,2024-04-18T19:26:00+00:00,2024-04-18T19:26:00+00:00,2024-04-18T19:26:00+00:00,2024-04-18T19:26:00+00:00,2024-04-18T19:26:00+00:00,None,None,None,None
2024-04-18DL848None,2024-04-18,landed,848,DL848,DAL848,Delta Air Lines,DL,DAL,Southwest Florida International,America/New_York,RSW,KRSW,,C6,6,2024-04-18T16:26:00+00:00,2024-04-18T16:26:00+00:00,2024-04-18T16:32:00+00:00,2024-04-18T16:32:00+00:00,2024-04-18T16:32:00+00:00,La Guardia,America/New_York,LGA,KLGA,C,88,3,,2024-04-18T19:20:00+00:00,2024-04-18T19:20:00+00:00,2024-04-18T19:09:00+00:00,2024-04-18T19:09:00+00:00,2024-04-18T19:09:00+00:00,None,None,None,None
2024-04-18DL6735None,2024-04-18,active,6735,DL6735,DAL6735,Delta Air Lines,DL,DAL,Trujillo,America/Lima,TRU,SPRU,1,,3,2024-04-18T19:30:00+00:00,2024-04-18T19:30:00+00:00,2024-04-18T19:32:00+00:00,2024-04-18T19:32:00+00:00,2024-04-18T19:32:00+00:00,Jorge Chavez International,America/Lima,LIM,SPJC,,,5,,2024-04-18T20:40:00+00:00,2024-04-18T20:40:00+00:00,,,,None,None,None,None
2024-04-18DL9325None,2024-04-18,landed,9325,DL9325,DAL9325,Delta Air Lines,DL,DAL,Schiphol,Europe/Amsterdam,AMS,EHAM,1,B1,19,2024-04-18T09:20:00+00:00,2024-04-18T09:20:00+00:00,2024-04-18T09:39:00+00:00,2024-04-18T09:39:00+00:00,2024-04-18T09:39:00+00:00,Hanover Airport,Europe/Berlin,HAJ,EDDV,A,A02,,1,2024-04-18T10:15:00+00:00,2024-04-18T10:15:00+00:00,2024-04-18T10:16:00+00:00,2024-04-18T10:16:00+00:00,2024-04-18T10:16:00+00:00,None,None,None,None
2024-04-18DL6972None,2024-04-18,landed,6972,DL6972,DAL6972,Delta Air Lines,DL,DAL,Calgary International Airport,America/Edmonton,YYC,CYYC,,C59,15,2024-04-18T18:30:00+00:00,2024-04-18T18:30:00+00:00,2024-04-18T18:44:00+00:00,2024-04-18T18:44:00+00:00,2024-04-18T18:44:00+00:00,Edmonton International Airport,America/Edmonton,YEG,CYEG,3,49F,,,2024-04-18T19:23:00+00:00,2024-04-18T19:23:00+00:00,2024-04-18T19:18:00+00:00,2024-04-18T19:18:00+00:00,2024-04-18T19:18:00+00:00,None,None,None,None
2024-04-18DL2842A321,2024-04-18,landed,2842,DL2842,DAL2842,Delta Air Lines,DL,DAL,Philadelphia International,America/New_York,PHL,KPHL,D,D16,27,2024-04-18T19:28:00+00:00,2024-04-18T19:28:00+00:00,2024-04-18T19:55:00+00:00,2024-04-18T19:55:00+00:00,2024-04-18T19:55:00+00:00,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,S,B5,6,,2024-04-18T21:50:00+00:00,2024-04-18T21:50:00+00:00,2024-04-18T21:31:00+00:00,2024-04-18T21:31:00+00:00,2024-04-18T21:31:00+00:00,N301DV,A321,A321,A32368
2024-04-18DL8840B752,2024-04-18,cancelled,8840,DL8840,DAL8840,Delta Air Lines,DL,DAL,Pittsburgh International,America/New_York,PIT,KPIT,,,66,2024-04-18T20:10:00+00:00,2024-04-18T20:10:00+00:00,2024-04-18T21:16:00+00:00,2024-04-18T21:16:00+00:00,2024-04-18T21:16:00+00:00,Philadelphia International,America/New_York,PHL,KPHL,A,1,,,2024-04-18T21:10:00+00:00,2024-04-18T21:10:00+00:00,,,,N649DL,B752,B752,A88700
2024-04-18DL1544B739,2024-04-18,landed,1544,DL1544,DAL1544,Delta Air Lines,DL,DAL,Mc Carran International,America/Los_Angeles,LAS,KLAS,1,D42,28,2024-04-18T17:05:00+00:00,2024-04-18T17:05:00+00:00,2024-04-18T17:32:00+00:00,2024-04-18T17:32:00+00:00,2024-04-18T17:32:00+00:00,Minneapolis - St. Paul International,America/Chicago,MSP,KMSP,1,G15,10,,2024-04-18T22:13:00+00:00,2024-04-18T22:13:00+00:00,2024-04-18T21:57:00+00:00,2024-04-18T21:57:00+00:00,2024-04-18T21:57:00+00:00,N927DZ,B739,B739,ACD88E
2024-04-18DL6260None,2024-04-18,landed,6260,DL6260,DAL6260,Delta Air Lines,DL,DAL,Santos Dumont,America/Sao_Paulo,SDU,SBRJ,1,4,,2024-04-18T06:05:00+00:00,2024-04-18T06:05:00+00:00,2024-04-18T06:05:00+00:00,2024-04-18T06:05:00+00:00,2024-04-18T06:05:00+00:00,Aeroporto Internacional Guarulhos,America/Sao_Paulo,GRU,SBGR,2,,,,2024-04-18T07:15:00+00:00,2024-04-18T07:15:00+00:00,2024-04-18T06:50:00+00:00,2024-04-18T06:50:00+00:00,2024-04-18T06:50:00+00:00,None,None,None,None
2024-04-18DL141B763,2024-04-18,landed,141,DL141,DAL141,Delta Air Lines,DL,DAL,Brussels Airport,Europe/Brussels,BRU,EBBR,,B28,39,2024-04-18T10:40:00+00:00,2024-04-18T10:40:00+00:00,2024-04-18T11:19:00+00:00,2024-04-18T11:19:00+00:00,2024-04-18T11:19:00+00:00,John F Kennedy International,America/New_York,JFK,KJFK,4,B32,T4,,2024-04-18T13:10:00+00:00,2024-04-18T13:10:00+00:00,2024-04-18T12:45:00+00:00,2024-04-18T12:45:00+00:00,2024-04-18T12:45:00+00:00,N1605,B763,B763,A0F4B5
2024-04-18DL8267None,2024-04-18,landed,8267,DL8267,DAL8267,Delta Air Lines,DL,DAL,Euroairport Swiss,Europe/Zurich,BSL,LFSB,,01,24,2024-04-18T10:55:00+00:00,2024-04-18T10:55:00+00:00,2024-04-18T11:19:00+00:00,2024-04-18T11:19:00+00:00,2024-04-18T11:19:00+00:00,Charles De Gaulle,Europe/Paris,CDG,LFPG,2G,,2G,,2024-04-18T12:10:00+00:00,2024-04-18T12:10:00+00:00,2024-04-18T12:09:00+00:00,2024-04-18T12:09:00+00:00,2024-04-18T12:09:00+00:00,None,None,None,None
2024-04-18DL6409None,2024-04-18,landed,6409,DL6409,DAL6409,Delta Air Lines,DL,DAL,Kunming,Asia/Shanghai,KMG,ZPPP,,28,38,2024-04-18T16:30:00+00:00,2024-04-18T16:30:00+00:00,2024-04-18T17:07:00+00:00,2024-04-18T17:07:00+00:00,2024-04-18T17:07:00+00:00,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,1,,5,12,2024-04-18T19:35:00+00:00,2024-04-18T19:35:00+00:00,2024-04-18T19:46:00+00:00,2024-04-18T19:46:00+00:00,2024-04-18T19:46:00+00:00,None,None,None,None
2024-04-18DL9172None,2024-04-18,landed,9172,DL9172,DAL9172,Delta Air Lines,DL,DAL,Aalborg,Europe/Copenhagen,AAL,EKYT,,4,21,2024-04-18T10:20:00+00:00,2024-04-18T10:20:00+00:00,2024-04-18T10:41:00+00:00,2024-04-18T10:41:00+00:00,2024-04-18T10:41:00+00:00,Schiphol,Europe/Amsterdam,AMS,EHAM,2,B31,012,1,2024-04-18T11:40:00+00:00,2024-04-18T11:40:00+00:00,2024-04-18T11:40:00+00:00,2024-04-18T11:40:00+00:00,2024-04-18T11:40:00+00:00,None,None,None,None
2024-04-18DL9343None,2024-04-18,landed,9343,DL9343,DAL9343,Delta Air Lines,DL,DAL,Schiphol,Europe/Amsterdam,AMS,EHAM,1,B35,35,2024-04-18T08:50:00+00:00,2024-04-18T08:50:00+00:00,2024-04-18T09:24:00+00:00,2024-04-18T09:24:00+00:00,2024-04-18T09:24:00+00:00,Liszt Ferenc International,Europe/Budapest,BUD,LHBP,2A,,,11,2024-04-18T10:50:00+00:00,2024-04-18T10:50:00+00:00,2024-04-18T11:01:00+00:00,2024-04-18T11:01:00+00:00,2024-04-18T11:01:00+00:00,None,None,None,None
2024-04-18DL7975None,2024-04-18,landed,7975,DL7975,DAL7975,Delta Air Lines,DL,DAL,Internacional Benito Juarez,America/Mexico_City,MEX,MMMX,2,71,32,2024-04-18T16:45:00+00:00,2024-04-18T16:45:00+00:00,2024-04-18T17:16:00+00:00,2024-04-18T17:16:00+00:00,2024-04-18T17:16:00+00:00,John F Kennedy International,America/New_York,JFK,KJFK,4,,,,2024-04-18T23:50:00+00:00,2024-04-18T23:50:00+00:00,2024-04-18T23:21:00+00:00,2024-04-18T23:21:00+00:00,2024-04-18T23:21:00+00:00,None,None,None,None
