id,flight_date,flight_status,flight_number,flight_iata,flight_icao,airline_name,airline_iata,airline_icao,depart_airport,depart_timezone,depart_iata,depart_icao,depart_terminal,depart_gate,depart_delay,depart_scheduled,depart_estimated,depart_actual,depart_estimated_runway,depart_actual_runway,arrival_airport,arrival_timezone,arrival_iata,arrival_icao,arrival_terminal,arrival_gate,arrival_baggage,arrival_delay,arrival_scheduled,arrival_estimated,arrival_actual,arrival_estimated_runway,arrival_actual_runway,aircraft_registration,aircraft_iata,aircraft_icao,aircraft_icao24
2024-04-15DL1075None,2024-04-15,landed,1075,DL1075,DAL1075,Delta Air Lines,DL,DAL,Pittsburgh International,America/New_York,PIT,KPIT,,D76,18,2024-04-15T13:01:00+00:00,2024-04-15T13:01:00+00:00,2024-04-15T13:18:00+00:00,2024-04-15T13:18:00+00:00,2024-04-15T13:18:00+00:00,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,S,B29,4,,2024-04-15T14:45:00+00:00,2024-04-15T14:45:00+00:00,2024-04-15T14:28:00+00:00,2024-04-15T14:28:00+00:00,2024-04-15T14:28:00+00:00,None,None,None,None
2024-04-15DL5006None,2024-04-15,landed,5006,DL5006,DAL5006,Delta Air Lines,DL,DAL,Raleigh-durham International Airport,America/New_York,RDU,KRDU,2,D14,22,2024-04-15T06:15:00+00:00,2024-04-15T06:15:00+00:00,2024-04-15T06:36:00+00:00,2024-04-15T06:36:00+00:00,2024-04-15T06:36:00+00:00,Ronald Reagan Washington National Airport,America/New_York,DCA,KDCA,2,B15,,,2024-04-15T07:29:00+00:00,2024-04-15T07:29:00+00:00,2024-04-15T07:20:00+00:00,2024-04-15T07:20:00+00:00,2024-04-15T07:20:00+00:00,None,None,None,None
2024-04-15DL5206None,2024-04-15,landed,5206,DL5206,DAL5206,Delta Air Lines,DL,DAL,Richmond International Airport,America/New_York,RIC,KRIC,,B10,16,2024-04-15T06:00:00+00:00,2024-04-15T06:00:00+00:00,2024-04-15T06:15:00+00:00,2024-04-15T06:15:00+00:00,2024-04-15T06:15:00+00:00,La Guardia,America/New_York,LGA,KLGA,C,94,1,,2024-04-15T07:13:00+00:00,2024-04-15T07:13:00+00:00,2024-04-15T07:05:00+00:00,2024-04-15T07:05:00+00:00,2024-04-15T07:05:00+00:00,None,None,None,None
2024-04-15DL6932None,2024-04-15,landed,6932,DL6932,DAL6932,Delta Air Lines,DL,DAL,Calgary International Airport,America/Edmonton,YYC,CYYC,,B31,16,2024-04-15T18:30:00+00:00,2024-04-15T18:30:00+00:00,2024-04-15T18:45:00+00:00,2024-04-15T18:45:00+00:00,2024-04-15T18:45:00+00:00,Edmonton International Airport,America/Edmonton,YEG,CYEG,3,49I,,,2024-04-15T19:23:00+00:00,2024-04-15T19:23:00+00:00,2024-04-15T19:16:00+00:00,2024-04-15T19:16:00+00:00,2024-04-15T19:16:00+00:00,None,None,None,None
2024-04-15DL9589None,2024-04-15,landed,9589,DL9589,DAL9589,Delta Air Lines,DL,DAL,Bremen,Europe/Berlin,BRE,EDDW,1,A06,30,2024-04-15T10:10:00+00:00,2024-04-15T10:10:00+00:00,2024-04-15T10:39:00+00:00,2024-04-15T10:39:00+00:00,2024-04-15T10:39:00+00:00,Schiphol,Europe/Amsterdam,AMS,EHAM,2,A04,009,16,2024-04-15T11:05:00+00:00,2024-04-15T11:05:00+00:00,2024-04-15T11:21:00+00:00,2024-04-15T11:21:00+00:00,2024-04-15T11:21:00+00:00,None,None,None,None
2024-04-15DL8355None,2024-04-15,landed,8355,DL8355,DAL8355,Delta Air Lines,DL,DAL,Blagnac,Europe/Paris,TLS,LFBO,,51,14,2024-04-15T10:45:00+00:00,2024-04-15T10:45:00+00:00,2024-04-15T10:58:00+00:00,2024-04-15T10:58:00+00:00,2024-04-15T10:58:00+00:00,Charles De Gaulle,Europe/Paris,CDG,LFPG,2F,,23,,2024-04-15T12:15:00+00:00,2024-04-15T12:15:00+00:00,2024-04-15T12:10:00+00:00,2024-04-15T12:10:00+00:00,2024-04-15T12:10:00+00:00,None,None,None,None
2024-04-15DL9522None,2024-04-15,landed,9522,DL9522,DAL9522,Delta Air Lines,DL,DAL,Bristol,Europe/London,BRS,EGGD,,10,42,2024-04-15T09:20:00+00:00,2024-04-15T09:20:00+00:00,2024-04-15T10:01:00+00:00,2024-04-15T10:01:00+00:00,2024-04-15T10:01:00+00:00,Schiphol,Europe/Amsterdam,AMS,EHAM,2,A08,010,19,2024-04-15T11:35:00+00:00,2024-04-15T11:35:00+00:00,2024-04-15T11:53:00+00:00,2024-04-15T11:53:00+00:00,2024-04-15T11:53:00+00:00,None,None,None,None
2024-04-15DL9476None,2024-04-15,landed,9476,DL9476,DAL9476,Delta Air Lines,DL,DAL,Schiphol,Europe/Amsterdam,AMS,EHAM,1,B23,36,2024-04-15T09:05:00+00:00,2024-04-15T09:05:00+00:00,2024-04-15T09:41:00+00:00,2024-04-15T09:41:00+00:00,2024-04-15T09:41:00+00:00,Blagnac,Europe/Paris,TLS,LFBO,1,02,2,14,2024-04-15T10:55:00+00:00,2024-04-15T10:55:00+00:00,2024-04-15T11:08:00+00:00,2024-04-15T11:08:00+00:00,2024-04-15T11:08:00+00:00,None,None,None,None
2024-04-15DL141B763,2024-04-15,landed,141,DL141,DAL141,Delta Air Lines,DL,DAL,Brussels Airport,Europe/Brussels,BRU,EBBR,,B29,15,2024-04-15T10:40:00+00:00,2024-04-15T10:40:00+00:00,2024-04-15T10:54:00+00:00,2024-04-15T10:54:00+00:00,2024-04-15T10:54:00+00:00,John F Kennedy International,America/New_York,JFK,KJFK,4,B36,T4,,2024-04-15T13:10:00+00:00,2024-04-15T13:10:00+00:00,2024-04-15T13:02:00+00:00,2024-04-15T13:02:00+00:00,2024-04-15T13:02:00+00:00,N194DN,B763,B763,A1775F
2024-04-15DL9470None,2024-04-15,landed,9470,DL9470,DAL9470,Delta Air Lines,DL,DAL,Euroairport Swiss,Europe/Zurich,BSL,LFSB,,2,18,2024-04-15T10:15:00+00:00,2024-04-15T10:15:00+00:00,2024-04-15T10:33:00+00:00,2024-04-15T10:33:00+00:00,2024-04-15T10:33:00+00:00,Schiphol,Europe/Amsterdam,AMS,EHAM,2,B24,012,,2024-04-15T11:45:00+00:00,2024-04-15T11:45:00+00:00,2024-04-15T11:44:00+00:00,2024-04-15T11:44:00+00:00,2024-04-15T11:44:00+00:00,None,None,None,None
2024-04-15DL8267None,2024-04-15,cancelled,8267,DL8267,DAL8267,Delta Air Lines,DL,DAL,Euroairport Swiss,Europe/Zurich,BSL,LFSB,,2,100,2024-04-15T10:55:00+00:00,2024-04-15T10:55:00+00:00,,,,Charles De Gaulle,Europe/Paris,CDG,LFPG,2G,,1G,,2024-04-15T12:10:00+00:00,2024-04-15T12:10:00+00:00,,,,None,None,None,None
